ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
7028	GNAI1-GNB5-GNG3 complex	Human	G-protein alphai1-beta5-gamma3 complex	None	O14775;P63096;P63215	10681;2770;2785	MI:0019-coimmunoprecipitation	None	None	None	None	GNB5;GNAI1;GNG3	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNGT3	Guanine nucleotide-binding protein subunit beta-5;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3
7030	DCP1A-NR3C1-PNRC2-UPF1-complex	Human	None	HEK293T cells	P04150;Q92900;Q9NPI6;Q9NPJ4	2908;5976;55802;55629	MI:0019-coimmunoprecipitation	GO:0000956;GO:0090025	nuclear-transcribed mRNA catabolic process;regulation of monocyte chemotaxis	None	None	NR3C1;UPF1;DCP1A;PNRC2	None	25775514	Dexamethasone treatment triggers efficient formation of the DCP1A-NR3C1-PNRC2-UPF1-complex. The authors demonstrate that 'Glucocorticoid receptor-mediated mRNA decay' (GMD) targets a subset of cellular mRNAs. Results suggest that GMD plays an important role in the chemotaxis of monocytes via regulation of CCL2 mRNA stability.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GRL, GR;KIAA0221, RENT1;SMIF;HSPC208	Glucocorticoid receptor;Regulator of nonsense transcripts 1;mRNA-decapping enzyme 1A;Proline-rich nuclear receptor coactivator 2
7031	GNAI1-GNB1-GNG4 complex	Human	G-protein alphai1-beta1-gamma4	None	P50150;P62873;P63096	2786;2782;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNG4;GNB1;GNAI1	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GNGT4;None;None	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G
7032	GNAI1-GNB2-GNG4 complex	Human	G-protein alphai1-beta2-gamma4 complex	None	P50150;P62879;P63096	2786;2783;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNG4;GNB2;GNAI1	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GNGT4;None;None	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G
7033	GNAI1-GNB3-GNG4 complex	Human	G-protein alphai1-beta3-gamma4 complex	None	P16520;P50150;P63096	2784;2786;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNB3;GNG4;GNAI1	None	0	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;GNGT4;None	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4;Guanine nucleotide-binding protein G
7034	GNAI1-GNB4-GNG4 complex	Human	G-protein alphai1-beta4-gamma4 complex	None	P50150;P63096;Q9HAV0	2786;2770;59345	MI:0019-coimmunoprecipitation	None	None	None	None	GNG4;GNAI1;GNB4	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GNGT4;None;None	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit beta-4
7035	GNAI1- GNB5-GNG4 complex	Human	G-protein alphai1-beta5-gamma4 complex	None	O14775;P50150;P63096	10681;2786;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNB5;GNG4;GNAI1	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;GNGT4;None	Guanine nucleotide-binding protein subunit beta-5;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4;Guanine nucleotide-binding protein G
7036	GNAI1-GNB1-GNG5 complex	Human	G-protein alphai1-beta1-gamma5 complex	None	P62873;P63096;P63218	2782;2770;2787	MI:0019-coimmunoprecipitation	None	None	None	None	GNB1;GNAI1;GNG5	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNGT5	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
7037	GNAI1-GNB2-GNG5 complex	Human	G-prtotein alphai1-beta2-gamma5 complex	None	P62879;P63096;P63218	2783;2770;2787	MI:0019-coimmunoprecipitation	None	None	None	None	GNB2;GNAI1;GNG5	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNGT5	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
7038	BVR-PKCD-ERK2 complex	Human	BLVRA-MAPK1-PRKCD complex	HEK293A cells	P28482;P53004;Q05655	5594;644;5580	MI:0019-coimmunoprecipitation;MI:0051-fluorescence technologies	GO:0070372;GO:0008283	regulation of ERK1 and ERK2 cascade;cell proliferation	None	None	MAPK1;BLVRA;PRKCD	None	22065579	The BVR-PKCdelta-ERK2 ternary complex is essential for ERK2 signal transduction and activation of genes are linked to cell proliferation and cancer. MEK1/2 and the protein phosphatase PP2A were also present in the complex. hBVR and ERK2 were phosphorylated by PKCdelta. hBVR was required for the activation of PKCdelta and its interaction with ERK2. The C-terminal phenylalanine residues of PKCdelta (Phe(660), Phe(663), and Phe(665)) were necessary for binding to ERK2 but not for hBVR binding. Formation of the hBVR-PKCdelta-ERK2 complex required the hBVR docking site for ERK, FXFP (DEF, C-box) and D(delta)-box (ILXXLXL) motifs.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ERK2, PRKM1, PRKM2;BLVR, BVR;None	Mitogen-activated protein kinase 1;Biliverdin reductase A;Protein kinase C delta type
7040	PDZK1-PLCB3-SSTR5 complex	Human	None	HEK293 cells	P35346;Q01970;Q5T2W1	6755;5331;5174	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0047-far western blotting	GO:0038170;GO:0031882;GO:0007186	somatostatin signaling pathway;type 5 somatostatin receptor binding;G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	SSTR5;PLCB3;PDZK1	None	22528496	Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST). SSTR5 not only interacted with PDZK1 but also interacted with endogenous PLC-beta3, but not with PLC-beta1. It was also confirmed that other SSTR isotypes (SSTR1-4) interact with PDZK1 and form complexes with PLC-beta3.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;CAP70, NHERF3, PDZD1	Somatostatin receptor type 5;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
7041	PDZK1-PLCB3- SSTR1 complex	Human	None	HEK293 cells	P30872;Q01970;Q5T2W1	6751;5331;5174	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0047-far western blotting	GO:0007186;GO:0038170;GO:0031878	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 1 somatostatin receptor binding	30.05.02.24	G-protein coupled receptor signalling pathway	SSTR1;PLCB3;PDZK1	None	22528496	Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;CAP70, NHERF3, PDZD1	Somatostatin receptor type 1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
7042	PDZK1-PLCB3- SSTR2 complex	Human	None	HEK293 cells	P30874;Q01970;Q5T2W1	6752;5331;5174	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0047-far western blotting	GO:0007186;GO:0038170;GO:0031879	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 2 somatostatin receptor binding	30.05.02.24	G-protein coupled receptor signalling pathway	SSTR2;PLCB3;PDZK1	None	22528496	Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;CAP70, NHERF3, PDZD1	Somatostatin receptor type 2;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
7043	PDZK1-PLCB3- SSTR3 complex	Human	None	HEK293 cells	P32745;Q01970;Q5T2W1	6753;5331;5174	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0047-far western blotting	GO:0007186;GO:0038170;GO:0031880	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 3 somatostatin receptor binding	30.05.02.24	G-protein coupled receptor signalling pathway	SSTR3;PLCB3;PDZK1	None	22528496	Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;CAP70, NHERF3, PDZD1	Somatostatin receptor type 3;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
7044	PDZK1-PLCB3- SSTR4 complex	Human	None	HEK293 cells	P31391;Q01970;Q5T2W1	6754;5331;5174	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0047-far western blotting	GO:0007186;GO:0038170;GO:0031881	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 4 somatostatin receptor binding	30.05.02.24	G-protein coupled receptor signalling pathway	SSTR4;PLCB3;PDZK1	None	22528496	Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;CAP70, NHERF3, PDZD1	Somatostatin receptor type 4;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
7045	IFNAR1-IFNAR2-IFNW1 complex	Human	Type I IFN complex	HEK293 cells	P05000;P17181;P48551	3467;3454;3455	MI:0114-x-ray crystallography	GO:0005125;GO:0005126;GO:0005132	cytokine activity;cytokine receptor binding;type I interferon receptor binding	40.02.03.01	cytokines (interleukines, colony stimulating factors, etc.)	IFNW1;IFNAR1;IFNAR2	None	21854986	Type I Interferons (IFNs) are important cytokines for innate immunity against viruses and cancer.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	IFNomega;IFNAR;IFNABR IFNARB	Interferon omega-1;Interferon alpha/beta receptor 1;Interferon alpha/beta receptor 2
7046	IFNAR2-IFNA2 complex	Human	Type I IFN complex	HEK293 cells	P01563;P48551	3440;3455	MI:0114-x-ray crystallography	GO:0005125;GO:0005126;GO:0005132	cytokine activity;cytokine receptor binding;type I interferon receptor binding	40.02.03.01	cytokines (interleukines, colony stimulating factors, etc.)	IFNA2;IFNAR2	None	21854986	Type I Interferons (IFNs) are important cytokines for innate immunity against viruses and cancer.	None	Homo sapiens (Human);Homo sapiens (Human)	IFNA2A,IFNA2B,IFNA2C;IFNABR IFNARB	Interferon alpha-2;Interferon alpha/beta receptor 2
7047	IFNAR1-IFNAR2-IFNA2 complex	Human	Type I IFN complex	HEK293 cells	P01563;P17181;P48551	3440;3454;3455	MI:0114-x-ray crystallography	GO:0005125;GO:0005126;GO:0005132	cytokine activity;cytokine receptor binding;type I interferon receptor binding	40.02.03.01	cytokines (interleukines, colony stimulating factors, etc.)	IFNA2;IFNAR1;IFNAR2	None	21854986	Type I Interferons (IFNs) are important cytokines for innate immunity against viruses and cancer.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	IFNA2A,IFNA2B,IFNA2C;IFNAR;IFNABR IFNARB	Interferon alpha-2;Interferon alpha/beta receptor 1;Interferon alpha/beta receptor 2
7048	TLR1-TLR2 complex	Human	TLR1-TLR2 heterodimer	HEK293 cells	O60603;Q15399	7097;7096	MI:0114-x-ray crystallography	GO:0035325;GO:0006955	Toll-like receptor binding;immune response	36.25.16	immune response	TLR2;TLR1	None	17889651	TLR2 in association with TLR1 or TLR6 plays an important role in the innate immune response by recognizing microbial lipoproteins and lipopeptides. Binding of the tri-acylated lipopeptide, Pam(3)CSK(4), induced the formation of an "m" shaped heterodimer of the TLR1 and TLR2 ectodomains whereas binding of the di-acylated lipopeptide, Pam(2)CSK(4), did not. The three lipid chains of Pam(3)CSK(4) mediate the heterodimerization of the receptor; the two ester-bound lipid chains are inserted into a pocket in TLR2, while the amide-bound lipid chain is inserted into a hydrophobic channel in TLR1. An extensive hydrogen-bonding network, as well as hydrophobic interactions, between TLR1 and TLR2 further stabilize the heterodimer.	None	Homo sapiens (Human);Homo sapiens (Human)	TIL4;KIAA0012	Toll-like receptor 2;Toll-like receptor 1
7049	TLR1-TLR2-lipoprotein complex	Human	None	HEK 293F cell	O60603;Q15399	7097;7096	MI:0411-enzyme linked immunosorbent assay;MI:0047-far western blotting	GO:0006955;GO:0035325	immune response;Toll-like receptor binding	36.25.16	immune response	TLR2;TLR1	None	23430250	Human lipopolysaccharide-binding protein LBP and CD14 independently deliver triacylated lipoproteins to Toll-likereceptors TLR1 and TLR2 and enhance formation of the TLR1-TLR2-lipopeptide ternary complex but are not part of the stable ternary complex.	None	Homo sapiens (Human);Homo sapiens (Human)	TIL4;KIAA0012	Toll-like receptor 2;Toll-like receptor 1
7050	PIAS1-SUMO1-UBC9 complex	Human	PIAS1-SUMO1-UBE2I ternary complex	HEK293T cells	O75925;P63165;P63279	8554;7341;7329	MI:0012-bioluminescence resonance energy transfer;MI:0077-nuclear magnetic resonance;MI:0065-isothermal titration calorimetry	GO:0032183;GO:0061665;GO:0003714	SUMO binding;SUMO ligase activity;transcription corepressor activity	None	None	PIAS1;SUMO1;UBE2I	None	24174529	UBC9 and PIAS1 are engaged both in a canonical E2\u00b7E3 interaction as well as assembled into a previously unidentified non-covalent ternary complex with SUMO as evidenced by bioluminescence resonance energy transfer, nuclear magnetic resonance spectroscopy, and isothermal titration calorimetry studies. In this ternary complex, SUMO functions as a bridge by forming non-overlapping interfaces with UBC9 and PIAS1. Data suggest that phosphorylation of serine residues adjacent to the PIAS1 SUMO-interacting motif favors formation of the non covalent PIAS1\u00b7SUMO\u00b7UBC9 ternary complex. The non-covalent ternary complex is required for the known transcriptional repression activities mediated by UBC9 and SUMO1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	DDXBP1;SMT3C, SMT3H3, UBL1;UBC9, UBCE9	E3 SUMO-protein ligase PIAS1;Small ubiquitin-related modifier 1;SUMO-conjugating enzyme UBC9
7051	OTUB1-UBC13-MMS2 complex	Human	OTUB1-UBE2N-UBE2V2 complex	U2OS cells; 293T cells	P61088;Q15819;Q96FW1	7334;7336;55611	MI:0114-x-ray crystallography;MI:0107-surface plasmon resonance;MI:0047-far western blotting;MI:0019-coimmunoprecipitation	GO:0031625;GO:0016579;GO:0016567;GO:0006282;GO:0006302;GO:0000209;GO:0004842	ubiquitin protein ligase binding;protein deubiquitination;protein ubiquitination;regulation of DNA repair;double-strand break repair;protein polyubiquitination;ubiquitin-protein transferase activity	14.07.05	modification by ubiquitination, deubiquitination	UBE2N;UBE2V2;OTUB1	None	22679021	A deubiquitinating enzyme OTUB1 inhibits Lys-63-linked ubiquitination by binding to a ubiquitin-conjugating enzyme UBC13. The mechanism of human OTUB1-UBC13 interaction was revealed by human OTUB1-UBC13-MMS2 complex structure and structure-based mutagenesis. The atomic-level interactions presented by the OTUB1-UBC13-MMS2 complex structure are critical for Lys-63-linked ubiquitination inhibition.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	UBC13, BLU;MMS2, UEV2;OTB1, OTU1	Ubiquitin-conjugating enzyme E2 N;Ubiquitin-conjugating enzyme E2 variant 2;Ubiquitin thioesterase OTUB1
7057	Propionyl-CoA carboxylase	Human	Propionyl-coenzyme A carboxylase, PCC holoenzyme	None	P05165;P05166	5095;5096	MI:0114-x-ray crystallography;MI:0040-electron microscopy	GO:0005739;GO:0009374;GO:0004658	mitochondrion;biotin binding;propionyl-CoA carboxylase activity	70.16;16.21.15	mitochondrion;biotin binding	PCCA;PCCB	None	20725044	The holoenzyme of Propionyl-coenzyme A carboxylase is an alpha(6)beta(6) dodecamer, with a molecular mass of 750 kDa. Biotin is an obligate co-factor.	Deficiencies in the biotin-dependent enzyme propionyl-coenzyme A carboxylase are linked to propionic acidemia. (PMID:29033250)	Homo sapiens (Human);Homo sapiens (Human)	None;None	Propionyl-CoA carboxylase alpha chain, mitochondrial;Propionyl-CoA carboxylase beta chain, mitochondrial
7058	KRIT1-HEG1-RAP1B complex	Human	CCM1-HEG1-RAP1 complex	Human KRIT1 FERM domain (residues 417\u2013736) and human Rap1 isoform Rap1b (residues 1\u2013167)  expressed	O00522;P61224;Q9ULI3	889;5908;57493	MI:0114-x-ray crystallography;MI:0096-pull down;MI:0047-far western blotting;MI:0276-blue native page	GO:0003924;GO:0005886	GTPase activity;plasma membrane	70.02	eukaryotic plasma membrane / membrane attached	KRIT1;RAP1B;HEG1	None	23814056	KRIT1 FERM domain can bind Rap1 GTPase and HEG1 cytoplasmic tail. The biological function of KRIT1 requires that its FERM (band 4.1, ezrin, radixin, moesin) domain physically interact with both the small GTPase Rap1 and the cytoplasmic tail of the Heart of glass (HEG1) membrane anchor.	CCMs (Cerebral Cavernous Malformations ) occur in both sporadic and autosomal dominant inherited forms, and the latter are due to heterozygous mutations at three loci, CCM1 (KRIT1), CCM2 (OSM), and CCM3 (PDCD10).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CCM1;None;KIAA1237	Krev interaction trapped protein 1;Ras-related protein Rap-1b;Protein HEG homolog 1
7059	GNAI1-GNB3-GNG5 complex	Human	G-protein alphai1-beta3-gamma5 complex	None	P16520;P63096;P63218	2784;2770;2787	MI:0019-coimmunoprecipitation	None	None	None	None	GNB3;GNAI1;GNG5	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNGT5	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
7060	GNAI1-GNB4-GNG5 complex	Human	G-protein alphai1-beta4-gamma5 complex	None	P63096;P63218;Q9HAV0	2770;2787;59345	MI:0019-coimmunoprecipitation	None	None	None	None	GNAI1;GNG5;GNB4	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;GNGT5;None	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5;Guanine nucleotide-binding protein subunit beta-4
7061	GNAI1-GNB5-GNG5 complex	Human	G-prtotein alphai1-beta5-gamma5 complex	None	O14775;P63096;P63218	10681;2770;2787	MI:0019-coimmunoprecipitation	None	None	None	None	GNB5;GNAI1;GNG5	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNGT5	Guanine nucleotide-binding protein subunit beta-5;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
7062	NFAT5-WWTR1 complex	Human	NFAT5-TAZ complex	293T cells	O94916;Q9GZV5	10725;25937	MI:0019-coimmunoprecipitation	GO:0006970	response to osmotic stress	34.11.03.13	osmosensing  and response	NFAT5;WWTR1	None	23045390	None	None	Homo sapiens (Human);Homo sapiens (Human)	KIAA0827,TONEBP;TAZ	Nuclear factor of activated T-cells 5;WW domain-containing transcription regulator protein 1
7063	C9orf72-SMCR8-WDR41 complex	Human	None	HEK293T cells	Q8TEV9;Q96LT7;Q9HAD4	140775;203228;55255	MI:0019-coimmunoprecipitation	GO:0006914;GO:0000139	autophagy;Golgi membrane	None	None	SMCR8;C9orf72;WDR41	None	27193190	The ALS (amyotrophic lateral sclerosis) and FTLD (frontotemporal lobar degeneration) associated protein C9orf72 interacts with SMCR8 and WDR41 to regulate the autophagy-lysosome pathway. WDR41 is tightly associated with the Golgi complex. WDR41 interacts with the C9orf72/SMCR8 dimer to form ternary complex, which then interacts with the FIP200/Ulk1/ATG13/ATG101 complex.	Hexanucleotide repeat expansion in the C9orf72 gene has been shown to be the main cause of ALS (amyotrophic lateral sclerosis) / FTLD (frontotemporal lobar degeneration).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;MSTP048	Guanine nucleotide exchange protein SMCR8;Guanine nucleotide exchange C9orf72;WD repeat-containing protein 41
7064	C9orf72-SMCR8 complex	Human	None	HEK293T cells	Q8TEV9;Q96LT7	140775;203228	MI:0019-coimmunoprecipitation	GO:0006914;GO:0000139	autophagy;Golgi membrane	None	None	SMCR8;C9orf72	None	27193190	The ALS (amyotrophic lateral sclerosis) and FTLD (frontotemporal lobar degeneration) associated protein C9orf72 interacts with SMCR8 and WDR41 to regulate the autophagy-lysosome pathway. WDR41 is tightly associated with the Golgi complex. WDR41 interacts with the C9orf72/SMCR8 dimer to form ternary complex, which then interacts with the FIP200/Ulk1/ATG13/ATG101 complex.	Hexanucleotide repeat expansion in the C9orf72 gene has been shown to be the main cause of ALS (amyotrophic lateral sclerosis) / FTLD (frontotemporal lobar degeneration).	Homo sapiens (Human);Homo sapiens (Human)	None;None	Guanine nucleotide exchange protein SMCR8;Guanine nucleotide exchange C9orf72
7065	WDR41-(C9orf72-SMCR8)-(FIP200-ULK1-ATG13-ATG101) complex	Human	None	HEK293T cells	O75143;O75385;Q8TDY2;Q8TEV9;Q96LT7;Q9BSB4;Q9HAD4	9776;8408;9821;140775;203228;60673;55255	MI:0019-coimmunoprecipitation	GO:0006914;GO:0000139	autophagy;Golgi membrane	None	None	ATG13;ULK1;RB1CC1;SMCR8;C9orf72;ATG101;WDR41	None	27193190	The ALS (amyotrophic lateral sclerosis) and FTLD (frontotemporal lobar degeneration) associated protein C9orf72 interacts with SMCR8 and WDR41 to regulate the autophagy-lysosome pathway. WDR41 is tightly associated with the Golgi complex. WDR41 interacts with the C9orf72/SMCR8 dimer to form ternary complex, which then interacts with the FIP200/Ulk1/ATG13/ATG101 complex.	Hexanucleotide repeat expansion in the C9orf72 gene has been shown to be the main cause of ALS (amyotrophic lateral sclerosis) / FTLD (frontotemporal lobar degeneration).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	KIAA0652;KIAA0722;FIP200 ,KIAA0203, RBICC;None;None;C12orf44;MSTP048	Autophagy-related protein 13;Serine/threonine-protein kinase ULK1;RB1-inducible coiled-coil protein 1;Guanine nucleotide exchange protein SMCR8;Guanine nucleotide exchange C9orf72;Autophagy-related protein 101;WD repeat-containing protein 41
7066	GNAI1-GNB1-GNG7 complex	Human	G-protein alphai1-beta1-gamma7 complex	None	O60262;P62873;P63096	2788;2782;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNG7;GNB1;GNAI1	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GNGT7;None;None	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G
7067	GNAI1-GNB2-GNG7 complex	Human	G-protein alphai1-beta2-gamma7 complex	None	O60262;P62879;P63096	2788;2783;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNG7;GNB2;GNAI1	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GNGT7;None;None	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G
7068	GNAI1-GNB3-GNG7 complex	Human	G-protein alphai1-beta3-gamma7 complex	None	O60262;P16520;P63096	2788;2784;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNG7;GNB3;GNAI1	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GNGT7;None;None	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G
7069	GNAI1-GNB4-GNG7 complex	Human	G-protein alphai1-beta4-gamma7 complex	None	O60262;P63096;Q9HAV0	2788;2770;59345	MI:0019-coimmunoprecipitation	None	None	None	None	GNG7;GNAI1;GNB4	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GNGT7;None;None	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit beta-4
7070	GNAI1-GNB5-GNG7 complex	Human	G-protein alphai1-beta5-gamma7 complex	None	O14775;O60262;P63096	10681;2788;2770	MI:0019-coimmunoprecipitation	None	None	None	None	GNB5;GNG7;GNAI1	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;GNGT7;None	Guanine nucleotide-binding protein subunit beta-5;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7;Guanine nucleotide-binding protein G
7071	GNAI1-GNB1-GNG8 complex	Human	G-protein alphai1-beta1-gamma8 complex	None	P62873;P63096;Q9UK08	2782;2770;94235	MI:0019-coimmunoprecipitation	None	None	None	None	GNB1;GNAI1;GNG8	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNG9,GNGT9	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8
7072	GNAI1-GNB2-GNG8 complex	Human	G-protein alphai1-beta2-gamma8 complex	None	P62879;P63096;Q9UK08	2783;2770;94235	MI:0019-coimmunoprecipitation	None	None	None	None	GNB2;GNAI1;GNG8	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNG9,GNGT9	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8
7073	GNAI1-GNB3-GNG8 complex	Human	G-protein alphai1-beta3-gamma8 complex	None	P16520;P63096;Q9UK08	2784;2770;94235	MI:0019-coimmunoprecipitation	None	None	None	None	GNB3;GNAI1;GNG8	None	25733868	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GNG9,GNGT9	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8
